sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,0.869,2,-20.3597,20.7311,-42.4997,32.8811,-0.26624,-0.12585,0.076,36.48,1.38946,0.000189206,0.000767074,-0.0220996,0.04433,0.00199884,0.0475484,-0.00110353,0.00955924,0.00331699,0.0133268,-0.0152752,-0.00393704,0.00531688,0.00200418,-0.00631319,-0.0091781,-0.00611919,0.0105251,0.00550759,-0.010067,0.00356591
1,0.869,3,-20.3726,-20.1129,-42.5126,-7.96294,-0.26492,-0.00298,0.107,51.36,-0.513443,0.00159886,-5.5e-05,-0.0861805,0.043543,0.0152813,0.0415081,0.0130236,0.00545058,0.0137631,0.0128333,-0.015999,-0.00617856,0.0023671,0.00477576,-0.00617868,-0.00656891,-0.00655282,0.00978559,0.00503575,-0.0107647,0.00441672
1,0.869,4,20.4765,-20.1105,-1.66354,-7.96052,-0.14057,-0.00183,0.094,45.12,1.23186,0.00226383,0.00166996,-0.063371,0.0311487,0.00076089,0.0559776,0.0278947,-0.00464835,0.00817303,0.0126613,-0.013126,-0.00290741,0.00507881,0.00391359,-0.00420244,-0.00822434,-0.00637995,0.0110876,0.00614196,-0.00845123,0.00293236
1,0.869,5,20.4885,20.7277,-1.65149,32.8777,-0.14127,-0.12498,0.075,36.0,2.50757,0.000561719,0.0020018,0.0196521,0.0242952,-0.00907871,0.0548465,0.0248206,0.000593712,-0.00132672,0.0163798,-0.0134175,-0.00352394,0.00723904,0.00279641,-0.00512716,-0.00797358,-0.00522906,0.0111156,0.00487315,-0.00980087,0.00269222
1,0.927,1,0.0582731,0.30729,-22.0817,12.4573,-0.2034,-0.0636,0.022,42.9,0.346574,0.000332346,0.000332649,-0.0140519,0.00798581,0.00049753,0.0133643,0.00337323,0.00102267,0.00204249,0.00338141,-0.00395736,-0.0006994,0.00140392,0.000399703,-0.00168352,-0.00179691,-0.00197503,0.0025214,0.00102281,-0.00201955,0.000753587
1,0.927,2,-20.3599,20.7312,-42.4999,32.8812,-0.26624,-0.12585,0.02,39.0,0.329189,0.000154253,0.000144629,-0.00969881,0.0105327,0.000203498,0.0116447,-0.000395037,0.00235059,0.000815967,0.00327548,-0.00376018,-0.000969256,0.00130878,0.000493335,-0.00155392,-0.00225918,-0.00150623,0.00259079,0.0013557,-0.00247803,0.000877769
1,0.927,3,-20.3727,-20.113,-42.5127,-7.96298,-0.26492,-0.00298,0.029,56.55,-0.137918,0.00044754,-0.000103406,-0.0256989,0.0106954,0.00338244,0.0102153,0.00308293,0.0013416,0.00338607,0.00315421,-0.00393836,-0.00152088,0.000582674,0.00117557,-0.0015208,-0.00161698,-0.00161298,0.00240877,0.00123956,-0.00264978,0.00108718
1,0.927,4,20.4765,-20.1106,-1.66354,-7.96056,-0.14057,-0.00183,0.026,50.7,0.29032,0.000599395,0.000361007,-0.0196968,0.00765514,8.3e-05,0.013777,0.00680232,-0.00114423,0.00201157,0.00311178,-0.00323106,-0.000715678,0.00125017,0.000963344,-0.0010344,-0.00202445,-0.00157044,0.00272926,0.00151186,-0.0020803,0.00072182
1,0.927,5,20.4885,20.7278,-1.65149,32.8778,-0.14127,-0.12498,0.018,35.1,0.602961,0.00018374,0.000469708,0.000969173,0.00578334,-0.0022477,0.0134421,0.00604539,0.000145598,-0.000326166,0.00402686,-0.00330278,-0.000867515,0.00178193,0.000688342,-0.00126202,-0.00196268,-0.00128714,0.00273616,0.00119954,-0.00241252,0.000662711
1,0.977,1,0.0582174,0.307312,-22.0818,12.4573,-0.20338,0.21345,0.061,56.547,-0.162745,0.00264943,-0.00188715,-0.0363665,0.0290211,0.0227144,-0.0054321,0.0235721,-0.0159623,0.0159071,0.00617308,-0.00902671,-0.00277361,0.00196546,0.00112803,-0.00375508,-0.00289515,-0.00385327,0.00631049,0.00313951,-0.00481894,0.00178262
1,0.977,2,-20.36,20.7312,-42.5,32.8812,-0.2657,0.1534,0.065,60.255,-0.748211,0.0019599,-0.001445,-0.0497939,0.0283637,0.0197187,0.0034055,0.0189042,-0.00730984,0.0171031,0.00596568,-0.00867839,-0.00271933,0.00195325,0.000472307,-0.00314622,-0.00320224,-0.00280479,0.00624153,0.00290388,-0.00560026,0.00153119
1,0.977,3,-20.3728,-20.113,-42.5128,-7.96301,-0.26361,0.27095,0.075,69.525,-3.62465,0.00353777,-0.00289533,0.0161779,0.0358346,0.0339226,-0.0295633,0.0308198,-0.0185019,0.025842,0.00431274,-0.00925182,-0.00382825,0.00207922,0.000945195,-0.0031316,-0.00276285,-0.00315426,0.00518228,0.00240597,-0.00576885,0.00165337
1,0.977,4,20.4765,-20.1106,-1.66355,-7.96059,-0.14128,0.27268,0.062,57.474,-2.40371,0.00369373,-0.00276147,-0.00902715,0.0320696,0.0278597,-0.0179111,0.0275567,-0.0262303,0.0111381,0.00475568,-0.00951699,-0.00284435,0.00183134,0.00135595,-0.00252592,-0.00195309,-0.00366593,0.00583746,0.00326654,-0.00474246,0.00147379
1,0.977,5,20.4885,20.7278,-1.6515,32.8778,-0.14241,0.1549,0.066,61.182,0.283397,0.00212648,-0.000839821,-0.056496,0.024133,0.013296,0.0115362,0.0208812,-0.0135481,0.00692202,0.00565951,-0.00827997,-0.00160578,0.00257572,0.000374886,-0.00264279,-0.00238651,-0.0031649,0.00582392,0.00269246,-0.00442101,0.00146627
