sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,1.75,1,0.277379,1.72186,-21.8626,13.8719,-0.06784,-0.03653,0.06,105,-0.147218,0.000366943,0.000338056,-0.0565844,-0.0244686,0.00548175,0.00776775,-0.013651,-0.000344187,-0.0021786,0.00205889,-0.00260344,0.000483844,0.00163941,0.00240635,0.00326777,0.000230412,0.00369085,-0.000772346,-0.00275558,-0.000973099,0.00162739
1,1.75,2,-19.8249,21.8019,-41.9649,33.9519,-0.13072,-0.09842,0.062,108.5,0.679216,0.00125331,0.00147539,-0.0487173,-0.0373108,0.0173525,0.00536271,-0.0159098,0.00291618,-0.00189081,0.00288088,-0.00225434,0.000082,0.0010154,0.00272217,0.00316365,-0.000922281,0.00339804,-0.000112256,-0.00279423,-0.000290723,0.000288466
1,1.75,3,-19.8274,-18.4103,-41.9674,-6.26025,-0.13003,0.02435,0.068,119,1.04852,-0.000387403,-0.000617029,-0.0656358,-0.0274096,-0.00714726,0.00815567,-0.0145028,-0.00404941,0.0021729,0.00283614,-0.0028423,-0.000227136,0.00137987,0.00225375,0.00299394,-0.000825002,0.00256687,-0.000138174,-0.00228913,-0.000391117,0.00112704
1,1.75,4,20.3754,-18.3778,-1.76462,-6.22783,-0.0052,0.02475,0.06,105,-0.0505127,-0.000349432,-0.000592934,-0.0611878,-0.012638,-0.00604729,0.010101,-0.0118612,-0.00591158,-0.00442925,0.00305132,-0.00210722,0.00133427,0.000852359,0.00289658,0.00390503,-0.000504068,0.00287646,0.00048622,-0.0024507,-0.00114278,0.000433617
1,1.75,5,20.3859,21.8319,-1.75413,33.9819,-0.00522,-0.0981,0.051,89.25,-0.0960914,-0.000301864,-0.000588694,-0.0451384,-0.0148168,0.0208551,0.00584425,-0.0116457,0.00205357,-0.00476575,0.00300201,-0.00192063,0.0012717,0.00164136,0.00272349,0.00335449,-0.000702458,0.00288075,-0.000829383,-0.00254509,-0.00102306,0.000342647
1,1.93,1,0.288561,3.37591,-21.8514,15.5259,-0.06784,-0.03653,0.059,113.87,-0.164444,0.000432652,0.000358853,-0.0561559,-0.022364,0.0101918,0.00692379,-0.0122007,0.00238192,-0.00171918,0.00379588,-0.00414935,0.000398035,0.00159198,0.0021832,0.00297212,0.000206186,0.00334472,-0.000727735,-0.00248651,-0.000860046,0.00148172
1,1.93,2,-19.8063,23.4414,-41.9463,35.5914,-0.13072,-0.09842,0.06,115.8,0.56347,0.00125771,0.00137214,-0.0477667,-0.0330076,0.020101,0.00421098,-0.0141213,0.00566162,-0.00117463,0.00447052,-0.00378757,0.000001,0.00102581,0.00246434,0.00288389,-0.000827175,0.00308523,-0.000136383,-0.00251512,-0.000240634,0.000269374
1,1.93,3,-19.8026,-16.7319,-41.9426,-4.58187,-0.13003,0.02435,0.066,127.38,0.793844,-0.000320755,-0.000622704,-0.0652484,-0.0251416,-0.000694875,0.00772227,-0.0127677,-0.00129812,0.00242676,0.00460726,-0.00444705,-0.000292145,0.00133948,0.00205229,0.00273517,-0.000763985,0.0023316,-0.000141017,-0.00205514,-0.00033618,0.00103458
1,1.93,4,20.3763,-16.7032,-1.76375,-4.55322,-0.0052,0.02475,0.059,113.87,-0.0833066,-0.000334846,-0.000589097,-0.0612874,-0.0122803,0.000200512,0.009506,-0.0107473,-0.00296042,-0.00398846,0.00478917,-0.00376507,0.0012059,0.000876402,0.00262466,0.00353786,-0.000472129,0.00260973,0.000420925,-0.00221992,-0.00101605,0.000400943
1,1.93,5,20.3865,23.4681,-1.75354,35.6181,-0.00522,-0.0981,0.051,98.43,-0.129114,-0.000266051,-0.000541995,-0.0445004,-0.0141698,0.0231198,0.00467056,-0.0105483,0.00490412,-0.00429244,0.00456934,-0.00347106,0.00115049,0.00160353,0.00246785,0.00304016,-0.000628677,0.00260839,-0.000789737,-0.00230506,-0.000902606,0.000320313
