sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,1.2,2,-20.7622,21.0434,-42.9022,33.1934,-0.13072,-0.09842,0.055,66,0.179227,-0.00103836,0.000198923,-0.0394872,-0.021796,-0.0115897,0.00403592,-0.0298948,-0.00335655,-0.00485352,0.0018499,0.00130491,-0.00150884,0.00531174,0.00214597,0.00384335,0.000498721,-0.00374278,0.000816745,-0.0069687,0.00035415,0.00181015
1,1.2,3,-20.7985,-20.1799,-42.9385,-8.02987,-0.13003,0.02435,0.077,92.4,-0.128167,-0.000866742,0.000953767,-0.0381746,-0.0378816,-0.0476199,0.00453041,-0.0275073,-0.00637949,-0.00262239,0.00177698,0.000045,-0.00169525,0.00693134,0.00223006,0.00356348,0.000440595,-0.00443603,0.000891516,-0.00666629,0.000148912,0.00118811
1,1.2,4,20.4623,-20.1499,-1.67772,-7.9999,-0.0052,0.02475,0.068,81.6,-0.227393,-0.000525032,0.000499088,-0.0318425,-0.00120642,-0.0570693,0.00633996,-0.0146617,-0.00635328,-0.00418415,0.00174188,-0.000523338,-0.000963097,0.00616063,0.00320888,0.00464706,0.00075584,-0.00412911,0.000166606,-0.00623873,-0.000117984,0.00141646
1,1.2,5,20.4771,21.0637,-1.66291,33.2137,-0.00522,-0.0981,0.041,49.2,0.259823,-0.000362109,-0.000006,-0.0309229,-0.002305,-0.0220921,0.00600384,-0.0144803,-0.00448042,-0.00371315,0.00200971,0.000569623,-0.000875617,0.00495672,0.00339423,0.00465844,-0.000014,-0.00377972,0.000580652,-0.00730414,-0.000015,0.00141672
1,1.4,1,-0.153388,0.198053,-22.2934,12.3481,-0.06784,-0.03653,0.049,68.6,0.12164,-0.000855809,0.000127745,-0.0311788,-0.0194308,-0.0263925,0.0068069,-0.0187677,-0.00543923,-0.0031115,0.00239527,0.000651327,-0.00117495,0.00477343,0.00238227,0.00377611,-0.0001644,-0.00313845,0.0007322,-0.00579262,-0.000348631,0.000630392
1,1.4,2,-20.7653,20.7778,-42.9053,32.9278,-0.13072,-0.09842,0.052,72.8,0.163983,-0.000913495,0.000208814,-0.0376013,-0.0277922,0.000738353,0.00417345,-0.0256473,-0.0028653,-0.00413275,0.00159216,0.0011102,-0.00128655,0.00455542,0.00184175,0.00329373,0.00042617,-0.00320756,0.000699068,-0.00597194,0.000297098,0.00154792
1,1.4,3,-20.8025,-20.4524,-42.9425,-8.30236,-0.13003,0.02435,0.069,96.6,-0.0766673,-0.000733689,0.00100909,-0.0324131,-0.0413092,-0.0385859,0.00466457,-0.0236059,-0.00548336,-0.00222464,0.0015227,0.000037,-0.00144763,0.00594072,0.00191554,0.00305434,0.000376214,-0.00380122,0.000763414,-0.00571265,0.00012096,0.00101508
1,1.4,4,20.4618,-20.4217,-1.67818,-8.27175,-0.0052,0.02475,0.056,78.4,-0.159021,-0.000440874,0.000420975,-0.0269321,-0.0012518,-0.0466,0.00620406,-0.0125687,-0.00545848,-0.00358624,0.00149341,-0.000450818,-0.000825889,0.00528045,0.00275062,0.00398252,0.000646488,-0.00353942,0.000141925,-0.00534657,-0.000107698,0.00121247
1,1.4,5,20.4767,20.7987,-1.66334,32.9487,-0.00522,-0.0981,0.034,47.6,0.235508,-0.000313519,-0.000139395,-0.0302172,-0.00218745,-0.00821493,0.00584804,-0.0124134,-0.00382565,-0.00318305,0.00172752,0.000479836,-0.000750932,0.0042513,0.0029095,0.00399237,-0.000012,-0.00323954,0.000496921,-0.00626084,-0.000019,0.00121274
1,1.6,1,-0.155082,-0.0312352,-22.2951,12.1188,-0.06784,-0.03653,0.043,68.8,0.12474,-0.000788166,0.000068,-0.0284894,-0.0204399,-0.0183196,0.00650766,-0.0164325,-0.00475604,-0.00271208,0.00209778,0.000566109,-0.0010247,0.00417808,0.00208439,0.00330342,-0.000143904,-0.00274482,0.000640272,-0.0050682,-0.000310482,0.00054948
